phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
1.2,2136.521896,0.026837853,0.000638173,9.49E-06,2.83E-05,0.000564861,0.188237224,8.17E-09,2.86E-09,2.17E-16,1.19E-16,1.53E-15,8.51E-17,4.59E-14,1.00E-13,0.045201088,0.06263725,7.76E-09,4.96E-10,3.41E-15,5.08E-17,1.22E-15,6.83E-21,9.98E-18,1.78E-22,8.91E-22,2.28E-26,7.15E-27,1.89E-17,1.13E-16,8.25E-20,4.72E-09,2.81E-09,4.48E-09,6.02E-08,1.12E-09,0.000117408,1.91E-09,6.10E-09,5.51E-09,1.23E-12,1.90E-09,1.14E-15,5.91E-20,7.09E-16,1.21E-11,5.19E-09,4.30E-11,0.675728263,0,3.93E-39,1.17E-39,1.10E-21,9.20E-22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,2057.30031,0.044056095,0.00049961,1.87E-06,3.34E-06,0.000229581,0.183161953,1.21E-09,7.53E-10,1.39E-16,1.28E-16,3.32E-15,1.71E-16,2.18E-13,9.87E-13,0.060888105,0.052903308,9.66E-09,1.10E-09,7.90E-15,1.10E-16,5.48E-15,2.38E-20,9.29E-17,1.85E-21,2.03E-20,5.82E-25,3.63E-25,5.30E-17,6.64E-16,3.62E-19,1.64E-09,1.64E-09,4.84E-09,1.41E-07,8.18E-10,3.27E-05,2.06E-10,1.68E-09,1.90E-09,1.44E-12,5.52E-09,3.32E-15,8.16E-20,6.43E-16,1.66E-11,8.86E-09,3.31E-11,0.658223287,0,5.20E-37,3.08E-37,7.14E-21,1.16E-20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,1979.778887,0.062751215,0.000354648,3.96E-07,4.80E-07,9.55E-05,0.17587607,2.04E-10,2.13E-10,6.54E-17,9.53E-17,4.80E-15,2.27E-16,6.64E-13,5.95E-12,0.073617282,0.045809062,9.86E-09,1.91E-09,1.31E-14,1.71E-16,1.69E-14,4.63E-20,4.70E-16,9.67E-21,2.25E-19,6.63E-24,7.86E-24,9.62E-17,2.41E-15,9.71E-19,5.41E-10,8.54E-10,4.43E-09,2.68E-07,5.39E-10,9.92E-06,2.69E-11,5.07E-10,6.67E-10,1.28E-12,1.18E-08,6.56E-15,7.97E-20,4.72E-16,1.88E-11,1.27E-08,2.22E-11,0.641485163,0,2.14E-35,2.43E-35,2.65E-20,7.98E-20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,1904.795087,0.082105486,0.000235904,8.58E-08,7.63E-08,3.98E-05,0.16730525,3.64E-11,6.21E-11,2.55E-17,5.71E-17,5.44E-15,2.36E-16,1.56E-12,2.72E-11,0.084165282,0.040609324,8.99E-09,2.87E-09,1.80E-14,2.19E-16,4.21E-14,6.47E-20,1.69E-15,3.42E-20,1.65E-18,4.79E-23,1.06E-22,1.37E-16,6.73E-15,1.98E-18,1.69E-10,4.11E-10,3.66E-09,4.51E-07,3.32E-10,3.14E-06,3.88E-12,1.60E-10,2.34E-10,9.70E-13,2.13E-08,1.03E-14,6.33E-20,3.05E-16,1.91E-11,1.65E-08,1.38E-11,0.62553512,0,4.60E-34,9.74E-34,7.20E-20,3.93E-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,1832.339207,0.101596572,0.000149104,1.85E-08,1.27E-08,1.65E-05,0.158038367,6.59E-12,1.82E-11,8.59E-18,2.92E-17,5.24E-15,2.07E-16,3.10E-12,1.05E-10,0.093126075,0.036733268,7.60E-09,3.96E-09,2.19E-14,2.47E-16,9.19E-14,7.23E-20,4.93E-15,9.43E-20,9.46E-18,2.60E-22,1.07E-21,1.66E-16,1.60E-14,3.38E-18,5.05E-11,1.85E-10,2.81E-09,7.05E-07,1.94E-10,1.01E-06,5.83E-13,5.10E-11,8.06E-11,6.57E-13,3.44E-08,1.40E-14,4.36E-20,1.80E-16,1.82E-11,2.02E-08,8.06E-12,0.610338339,0,6.60E-33,2.60E-32,1.61E-19,1.58E-18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,1762.265737,0.120907689,9.02E-05,3.90E-09,2.13E-09,6.68E-06,0.148443126,1.18E-12,5.26E-12,2.57E-18,1.32E-17,4.47E-15,1.61E-16,5.50E-12,3.65E-10,0.100908669,0.033791666,6.06E-09,5.16E-09,2.43E-14,2.54E-16,1.84E-13,6.90E-20,1.25E-14,2.20E-19,4.63E-17,1.18E-21,8.98E-21,1.80E-16,3.43E-14,5.14E-18,1.43E-11,7.86E-11,2.02E-09,1.04E-06,1.08E-10,3.21E-07,8.84E-14,1.62E-11,2.71E-11,4.07E-13,5.18E-08,1.72E-14,2.70E-20,9.91E-17,1.64E-11,2.38E-08,4.50E-12,0.595850559,0,7.30E-32,5.38E-31,3.15E-19,5.61E-18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
